Virtual Address: 62256; Physical Address: 65584; Value: 0
Virtual Address: 35823; Physical Address: 65775; Value: 4294967291
Virtual Address: 27790; Physical Address: 65678; Value: 27
Virtual Address: 13191; Physical Address: 65671; Value: 4294967265
Virtual Address: 9772; Physical Address: 65580; Value: 0
Virtual Address: 7477; Physical Address: 65589; Value: 0
Virtual Address: 44455; Physical Address: 65703; Value: 105
Virtual Address: 59546; Physical Address: 65690; Value: 43
Virtual Address: 49347; Physical Address: 65731; Value: 48
Virtual Address: 36539; Physical Address: 65723; Value: 4294967214
Virtual Address: 12453; Physical Address: 65701; Value: 0
Virtual Address: 49640; Physical Address: 65768; Value: 0
Virtual Address: 28290; Physical Address: 65666; Value: 27
Virtual Address: 44817; Physical Address: 65553; Value: 0
Virtual Address: 8565; Physical Address: 65653; Value: 0
Virtual Address: 16399; Physical Address: 65551; Value: 3
Virtual Address: 41934; Physical Address: 65742; Value: 40
Virtual Address: 45457; Physical Address: 65681; Value: 0
Virtual Address: 33856; Physical Address: 65600; Value: 0
Virtual Address: 19498; Physical Address: 65578; Value: 19
Virtual Address: 17661; Physical Address: 65789; Value: 0
Virtual Address: 63829; Physical Address: 65621; Value: 0
Virtual Address: 42034; Physical Address: 65586; Value: 41
Virtual Address: 28928; Physical Address: 65536; Value: 0
Virtual Address: 30711; Physical Address: 65783; Value: 4294967293
Virtual Address: 8800; Physical Address: 65632; Value: 0
Virtual Address: 52335; Physical Address: 65647; Value: 27
Virtual Address: 38775; Physical Address: 65655; Value: 4294967261
Virtual Address: 52704; Physical Address: 65760; Value: 0
Virtual Address: 24380; Physical Address: 65596; Value: 0
Virtual Address: 19602; Physical Address: 65682; Value: 23
Virtual Address: 57998; Physical Address: 65678; Value: 56
Virtual Address: 2919; Physical Address: 65639; Value: 4294967257
Virtual Address: 8362; Physical Address: 65706; Value: 8
Virtual Address: 17884; Physical Address: 65756; Value: 0
Virtual Address: 45737; Physical Address: 65705; Value: 0
Virtual Address: 47894; Physical Address: 65558; Value: 46
Virtual Address: 59667; Physical Address: 65555; Value: 68
Virtual Address: 10385; Physical Address: 65681; Value: 0
Virtual Address: 52782; Physical Address: 65582; Value: 51
Virtual Address: 64416; Physical Address: 65696; Value: 0
Virtual Address: 40946; Physical Address: 65778; Value: 39
